category,category_revenue,num_orders
health_beauty,1229557.5,8610
watches_gifts,1163465.91,5491
bed_bath_table,1022955.77,9267
sports_leisure,952840.4,7513
computers_accessories,888055.59,6518
furniture_decor,706237.17,6258
housewares,614341.62,5734
cool_stuff,609158.0,3552
auto,577838.39,3802
garden_tools,469135.4,3443
toys,467179.98,3782
baby,399050.67,2800
perfumery,385315.55,3060
telephony,309631.94,4086
office_furniture,266853.43,1248
stationery,223788.69,2264
computers,218684.14,177
pet_shop,211005.96,1684
musical_instruments,184315.74,611
small_appliances,182754.12,609
unknown,170660.74,1390
electronics,154935.94,2516
fashion_bags_accessories,148945.19,1812
consoles_games,144384.01,1011
construction_tools_construction,142108.49,736
luggage_accessories,138701.63,1019
home_appliances_2,107953.95,227
home_construction,81407.57,483
home_appliances,78832.48,747
agro_industry_and_commerce,70566.1,177
furniture_living_room,67350.7,414
home_confort,58008.45,392
fixed_telephony,54610.33,207
air_conditioning,51974.27,242
audio,50413.61,346
small_appliances_home_oven_and_coffee,46589.56,72
kitchen_dining_laundry_garden_furniture,45531.98,241
books_general_interest,45302.15,496
construction_tools_lights,39957.0,242
construction_tools_safety,38773.22,159
industry_commerce_and_business,38139.21,229
food,28651.25,440
market_place,26880.48,269
costruction_tools_garden,25096.28,190
art,23657.3,195
fashion_shoes,22971.47,234
drinks,21529.84,287
signaling_and_security,21315.05,138
furniture_bedroom,19051.8,90
books_technical,18702.23,256
costruction_tools_tools,15903.95,97
food_drink,14942.88,221
fashion_male_clothing,10427.43,105
fashion_underwear_beach,9305.95,117
christmas_supplies,8737.84,125
tablets_printing_image,7528.41,79
cine_photo,6674.47,63
music,6034.35,38
dvds_blu_ray,4542.59,56
party_supplies,4465.19,38
books_imported,4418.86,50
furniture_mattress_and_upholstery,4323.38,37
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13
fashio_female_clothing,2580.04,35
fashion_sport,2094.52,26
la_cuisine,2054.99,13
arts_and_craftmanship,1814.01,23
diapers_and_hygiene,1365.89,24
pc_gamer,1306.95,7
flowers,1110.04,29
home_comfort_2,760.27,24
cds_dvds_musicals,730.0,12
fashion_childrens_clothes,519.95,7
security_and_services,283.29,2
