cohort_month,month_number,active_customers,cohort_size,retention_pct
2017-01,0,718,718,100.0
2017-01,1,2,718,0.28
2017-01,2,2,718,0.28
2017-01,3,1,718,0.14
2017-01,4,3,718,0.42
2017-01,5,1,718,0.14
2017-01,6,3,718,0.42
2017-02,0,1628,1628,100.0
2017-02,1,3,1628,0.18
2017-02,2,5,1628,0.31
2017-02,3,2,1628,0.12
2017-02,4,7,1628,0.43
2017-02,5,2,1628,0.12
2017-02,6,4,1628,0.25
2017-03,0,2503,2503,100.0
2017-03,1,11,2503,0.44
2017-03,2,9,2503,0.36
2017-03,3,10,2503,0.4
2017-03,4,9,2503,0.36
2017-03,5,4,2503,0.16
2017-03,6,4,2503,0.16
2017-04,0,2257,2257,100.0
2017-04,1,14,2257,0.62
2017-04,2,5,2257,0.22
2017-04,3,4,2257,0.18
2017-04,4,6,2257,0.27
2017-04,5,6,2257,0.27
2017-04,6,8,2257,0.35
2017-05,0,3451,3451,100.0
2017-05,1,16,3451,0.46
2017-05,2,16,3451,0.46
2017-05,3,10,3451,0.29
2017-05,4,10,3451,0.29
2017-05,5,11,3451,0.32
2017-05,6,14,3451,0.41
2017-06,0,3037,3037,100.0
2017-06,1,15,3037,0.49
2017-06,2,12,3037,0.4
2017-06,3,13,3037,0.43
2017-06,4,9,3037,0.3
2017-06,5,12,3037,0.4
2017-06,6,11,3037,0.36
2017-07,0,3753,3753,100.0
2017-07,1,20,3753,0.53
2017-07,2,13,3753,0.35
2017-07,3,9,3753,0.24
2017-07,4,11,3753,0.29
2017-07,5,8,3753,0.21
2017-07,6,12,3753,0.32
2017-08,0,4057,4057,100.0
2017-08,1,28,4057,0.69
2017-08,2,14,4057,0.35
2017-08,3,11,4057,0.27
2017-08,4,14,4057,0.35
2017-08,5,21,4057,0.52
2017-08,6,12,4057,0.3
2017-09,0,4005,4005,100.0
2017-09,1,28,4005,0.7
2017-09,2,22,4005,0.55
2017-09,3,11,4005,0.27
2017-09,4,18,4005,0.45
2017-09,5,9,4005,0.22
2017-09,6,9,4005,0.22
2017-10,0,4328,4328,100.0
2017-10,1,31,4328,0.72
2017-10,2,11,4328,0.25
2017-10,3,4,4328,0.09
2017-10,4,10,4328,0.23
2017-10,5,9,4328,0.21
2017-10,6,9,4328,0.21
2017-11,0,7061,7061,100.0
2017-11,1,40,7061,0.57
2017-11,2,26,7061,0.37
2017-11,3,12,7061,0.17
2017-11,4,12,7061,0.17
2017-11,5,13,7061,0.18
2017-11,6,8,7061,0.11
2017-12,0,5338,5338,100.0
2017-12,1,11,5338,0.21
2017-12,2,15,5338,0.28
2017-12,3,18,5338,0.34
2017-12,4,14,5338,0.26
2017-12,5,11,5338,0.21
2017-12,6,9,5338,0.17
2018-01,0,6843,6843,100.0
2018-01,1,23,6843,0.34
2018-01,2,25,6843,0.37
2018-01,3,20,6843,0.29
2018-01,4,20,6843,0.29
2018-01,5,11,6843,0.16
2018-01,6,12,6843,0.18
2018-02,0,6288,6288,100.0
2018-02,1,22,6288,0.35
2018-02,2,25,6288,0.4
2018-02,3,19,6288,0.3
2018-02,4,16,6288,0.25
2018-02,5,14,6288,0.22
2018-02,6,13,6288,0.21
2018-03,0,6775,6775,100.0
2018-03,1,27,6775,0.4
2018-03,2,20,6775,0.3
2018-03,3,20,6775,0.3
2018-03,4,8,6775,0.12
2018-03,5,8,6775,0.12
2018-04,0,6582,6582,100.0
2018-04,1,39,6582,0.59
2018-04,2,20,6582,0.3
2018-04,3,16,6582,0.24
2018-04,4,9,6582,0.14
2018-05,0,6508,6508,100.0
2018-05,1,34,6508,0.52
2018-05,2,17,6508,0.26
2018-05,3,12,6508,0.18
2018-06,0,5879,5879,100.0
2018-06,1,25,5879,0.43
2018-06,2,16,5879,0.27
2018-07,0,5949,5949,100.0
2018-07,1,31,5949,0.52
2018-08,0,6144,6144,100.0
