month,monthly_revenue,num_orders,aov,unique_customers
2017-01,111798.36,750,149.06,718
2017-02,234223.4,1653,141.7,1630
2017-03,359198.85,2546,141.08,2508
2017-04,340669.68,2303,147.92,2274
2017-05,489338.25,3546,138.0,3479
2017-06,421923.37,3135,134.58,3076
2017-07,481604.52,3872,124.38,3802
2017-08,554699.7,4193,132.29,4114
2017-09,607399.67,4150,146.36,4083
2017-10,648247.65,4478,144.76,4417
2017-11,987765.37,7289,135.51,7183
2017-12,726033.19,5513,131.69,5450
2018-01,924645.0,7069,130.8,6974
2018-02,826437.13,6555,126.08,6400
2018-03,953356.25,7003,136.14,6914
2018-04,973534.09,6798,143.21,6744
2018-05,977544.69,6749,144.84,6693
2018-06,856077.86,6099,140.36,6061
2018-07,867953.46,6159,140.92,6100
2018-08,838576.64,6351,132.04,6310
