customer_state,total_price,total_freight,num_orders,freight_pct_of_price,avg_order_value
SP,5055587.13,700412.63,40406,13.85,125.12
RJ,1751433.85,294923.79,12310,16.84,142.28
MG,1548206.8800000001,265747.39,11319,17.16,136.78
RS,726373.92,132200.76,5328,18.2,136.33
PR,664048.0,115166.08,4903,17.34,135.44
SC,504774.07,87852.99,3537,17.4,142.71
BA,493339.26,97477.54,3253,19.76,151.66
DF,295454.64,49468.6,2074,16.74,142.46
ES,267783.66,48882.46,1992,18.25,134.43
GO,281932.21,51224.02,1950,18.17,144.58
PE,250639.89,56788.21,1587,22.66,157.93
CE,218107.7,46443.69,1273,21.29,171.33
PA,173382.99,37357.49,942,21.55,184.06
MT,152143.82,28979.16,885,19.05,171.91
MA,116305.12,30499.58,713,26.22,163.12
MS,115429.97,18937.58,701,16.41,164.66
PB,112536.92,25226.89,516,22.42,218.09
PI,84511.0,20421.1,475,24.16,177.92
RN,81376.97,18456.47,470,22.68,173.14
AL,78805.73,15290.16,396,19.4,199.0
SE,56288.74,13654.47,332,24.26,169.54
TO,48402.51,11604.86,274,23.98,176.65
RO,45682.76,11283.24,243,24.7,187.99
AM,22155.84,5429.63,145,24.51,152.8
AC,15930.97,3644.36,80,22.88,199.14
AP,13374.81,2767.0,67,20.69,199.62
RR,7017.7699999999995,1952.73,40,27.83,175.44
